되는길순번,KNOW직업코드,교육1코드,교육2코드,교육3코드,학력-중졸이하,학력-고졸,학력-전문대졸,학력-대졸,학력-대학원졸,인문-언어_문학,인문-인문과학,사회-경영_경제,사회-법률,사회-사회과학,교육-일반,교육-유아,교육-특수,교육-초등,교육-중등,공학-건축,공학-토목,공학-기계_금속,공학-전기_전자,공학-화공,공학-컴퓨터_통신,공학-정밀_에너지,공학-소재_재료,"공학-교통,운송",공학-산업,공학-농림_수산,자연-생물_화학,자연-생활과학,자연-수학_물리,의학-의료,의학-간호,의학-약학,의학-치료_보건,예체능-음악,예체능-미술_조형,예체능-디자인,예체능-체육_무용,예체능-연극_영화,예체능-응용예술,학력-박사졸,학력-고졸_이후_직업교육(6개월 이상)_이수,공학-기타
191,26101,,,,0,0,1,28,1,2,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,0
192,26102,,,,0,0,4,26,1,0,0,18,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,,0
193,26103,,,,0,1,9,20,0,2,0,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
194,26201,,,,0,0,1,28,2,3,0,25,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
196,26401,,,,0,0,0,31,0,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
197,27101,,,,0,0,7,20,3,2,0,17,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
198,27201,,,,0,9,10,11,0,1,0,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
199,28101,,,,0,1,0,29,0,0,0,22,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,0
200,28201,,,,0,1,10,19,0,1,0,13,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
201,28202,,,,0,1,3,25,0,2,0,17,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0
202,28203,,,,0,0,1,28,1,0,0,18,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
203,28204,,,,0,5,4,21,0,3,0,19,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
204,28301,,,,0,2,7,21,0,1,0,19,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
205,28302,,,,0,1,10,19,0,0,0,11,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
206,28401,,,,1,4,10,15,0,1,0,5,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
208,29101,,,,0,3,14,13,0,2,0,13,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,,0
209,29201,,,,0,10,15,5,0,2,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,0,0,0,1,0,0,0,0,0,0,,0
210,29202,,,,0,0,14,16,0,1,0,7,0,0,2,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
211,29303,,,,0,11,11,7,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,0
212,29401,,,,0,0,8,22,0,4,0,12,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
214,29901,,,,0,0,7,23,0,8,0,7,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
215,29902,,,,0,6,7,17,0,0,0,27,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
216,29903,,,,0,1,5,24,0,10,0,3,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,,0
217,29904,,,,1,11,5,14,0,0,0,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
218,31101,,,,0,0,0,22,7,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,,0
219,31102,,,,0,0,0,29,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
221,31301,,,,0,0,0,24,6,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
222,31302,,,,0,0,2,28,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
223,31401,,,,0,0,0,34,3,0,0,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
224,31501,,,,0,0,3,26,1,3,0,20,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
225,32101,,,,0,1,3,26,0,1,0,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
227,32301,,,,0,2,1,27,0,1,0,19,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
228,32302,,,,0,0,7,23,0,0,0,25,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
229,32401,,,,0,2,2,26,0,0,0,27,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
