"한국표준직업분류 개정7차","성별","경력구분","항목","단위","2020 년","2021 년","2022 년","2023 년","2024 년","2025 년",
"공공기관 및 기업 고위직(11)","전체","전경력","근로자수","명","1124","712","1352","2142","2288","1382",
"공공기관 및 기업 고위직(11)","전체","1년미만","월임금총액","천원","11781","12228","11536","12787","13230","15279",
"공공기관 및 기업 고위직(11)","전체","1년미만","월급여액","천원","11781","12228","11510","12787","13101","14772",
"공공기관 및 기업 고위직(11)","전체","1년미만","전년도연간특별급여/12개월","천원","0","0","26","0","129","508",
"공공기관 및 기업 고위직(11)","전체","1년미만","전년도 연간특별급여","천원","0","0","311","0","1546","6093",
"공공기관 및 기업 고위직(11)","전체","1년미만","총근로시간","시간","175.3","176","163.5","166.9","154.7","152.2",
"공공기관 및 기업 고위직(11)","전체","1년미만","근로자수","명","39","29","37","59","46","44",
"공공기관 및 기업 고위직(11)","전체","1~3년미만","월임금총액","천원","18258","18282","17417","19628","20904","18724",
"공공기관 및 기업 고위직(11)","전체","1~3년미만","월급여액","천원","15453","15613","15759","16073","18200","17604",
"공공기관 및 기업 고위직(11)","전체","1~3년미만","전년도연간특별급여/12개월","천원","2805","2668","1658","3555","2704","1120",
"공공기관 및 기업 고위직(11)","전체","1~3년미만","전년도 연간특별급여","천원","33660","32018","19900","42661","32448","13440",
"공공기관 및 기업 고위직(11)","전체","1~3년미만","총근로시간","시간","174.4","174.8","159.2","167.3","151.4","151.6",
"공공기관 및 기업 고위직(11)","전체","1~3년미만","근로자수","명","166","59","112","82","259","138",
"공공기관 및 기업 고위직(11)","전체","3~5년미만","월임금총액","천원","30960","19717","19992","22326","24274","23203",
"공공기관 및 기업 고위직(11)","전체","3~5년미만","월급여액","천원","17421","17537","18862","17895","19983","19590",
"공공기관 및 기업 고위직(11)","전체","3~5년미만","전년도연간특별급여/12개월","천원","13540","2181","1131","4430","4291","3613",
"공공기관 및 기업 고위직(11)","전체","3~5년미만","전년도 연간특별급여","천원","162476","26169","13567","53162","51492","43360",
"공공기관 및 기업 고위직(11)","전체","3~5년미만","총근로시간","시간","176","177.7","160","165.9","149","154.2",
"공공기관 및 기업 고위직(11)","전체","3~5년미만","근로자수","명","8","95","95","167","161","70",
"공공기관 및 기업 고위직(11)","전체","5~10년미만","월임금총액","천원","23879","26320","19548","19511","25697","32609",
"공공기관 및 기업 고위직(11)","전체","5~10년미만","월급여액","천원","18648","19324","18429","16799","19982","19949",
"공공기관 및 기업 고위직(11)","전체","5~10년미만","전년도연간특별급여/12개월","천원","5231","6995","1119","2712","5714","12660",
"공공기관 및 기업 고위직(11)","전체","5~10년미만","전년도 연간특별급여","천원","62770","83941","13425","32544","68573","151923",
"공공기관 및 기업 고위직(11)","전체","5~10년미만","총근로시간","시간","175.9","174.2","163.8","170.6","149.3","151",
"공공기관 및 기업 고위직(11)","전체","5~10년미만","근로자수","명","171","55","133","172","51","109",
"공공기관 및 기업 고위직(11)","전체","10년이상","월임금총액","천원","24680","24145","26928","26146","25421","28031",
"공공기관 및 기업 고위직(11)","전체","10년이상","월급여액","천원","19410","20995","22977","22258","22067","22312",
"공공기관 및 기업 고위직(11)","전체","10년이상","전년도연간특별급여/12개월","천원","5270","3150","3952","3888","3354","5719",
"공공기관 및 기업 고위직(11)","전체","10년이상","전년도 연간특별급여","천원","63240","37804","47419","46651","40254","68633",
"공공기관 및 기업 고위직(11)","전체","10년이상","총근로시간","시간","174","175.5","162.5","167.2","152.7","152.5",
"공공기관 및 기업 고위직(11)","전체","10년이상","근로자수","명","739","474","975","1662","1771","1021",
"공공기관 및 기업 고위직(11)","남","전경력","월임금총액","천원","23477","23211","25096","25413","24842","27318",
"공공기관 및 기업 고위직(11)","남","전경력","월급여액","천원","18588","19945","21819","21589","21495","21632",
"공공기관 및 기업 고위직(11)","남","전경력","전년도연간특별급여/12개월","천원","4889","3267","3278","3824","3347","5685",
"공공기관 및 기업 고위직(11)","남","전경력","전년도 연간특별급여","천원","58664","39199","39333","45882","40164","68226",
"공공기관 및 기업 고위직(11)","남","전경력","총근로시간","시간","174.3","175.2","162","167.1","152.2","152.4",
"공공기관 및 기업 고위직(11)","남","전경력","근로자수","명","1090","676","1261","1951","2192","1288",
"공공기관 및 기업 고위직(11)","남","1년미만","월임금총액","천원","11866","12926","12562","12787","13843","15279",
"공공기관 및 기업 고위직(11)","남","1년미만","월급여액","천원","11866","12926","12521","12787","13686","14772",
"공공기관 및 기업 고위직(11)","남","1년미만","전년도연간특별급여/12개월","천원","0","0","40","0","157","508",
"공공기관 및 기업 고위직(11)","남","1년미만","전년도 연간특별급여","천원","0","0","485","0","1883","6093",
"공공기관 및 기업 고위직(11)","남","1년미만","총근로시간","시간","175.2","176","160.9","166.9","155.2","152.2",
"공공기관 및 기업 고위직(11)","남","1년미만","근로자수","명","38","22","24","59","37","44",
"공공기관 및 기업 고위직(11)","남","1~3년미만","월임금총액","천원","18399","18652","17446","20173","21243","18995",
"공공기관 및 기업 고위직(11)","남","1~3년미만","월급여액","천원","15553","15861","15809","17065","18439","17815",
"공공기관 및 기업 고위직(11)","남","1~3년미만","전년도연간특별급여/12개월","천원","2846","2790","1637","3108","2804","1179",
"공공기관 및 기업 고위직(11)","남","1~3년미만","전년도 연간특별급여","천원","34157","33484","19643","37296","33646","14150",
"공공기관 및 기업 고위직(11)","남","1~3년미만","총근로시간","시간","174.3","174.7","159.2","167.1","151.4","151.2",
"공공기관 및 기업 고위직(11)","남","1~3년미만","근로자수","명","164","57","111","66","248","131",
"공공기관 및 기업 고위직(11)","남","3~5년미만","월임금총액","천원","30960","20164","20374","22944","24601","23203",
"공공기관 및 기업 고위직(11)","남","3~5년미만","월급여액","천원","17421","18047","19389","18628","20248","19590",
"공공기관 및 기업 고위직(11)","남","3~5년미만","전년도연간특별급여/12개월","천원","13540","2118","985","4316","4353","3613",
"공공기관 및 기업 고위직(11)","남","3~5년미만","전년도 연간특별급여","천원","162476","25413","11820","51792","52233","43360",
"공공기관 및 기업 고위직(11)","남","3~5년미만","총근로시간","시간","176","174.4","160","166.1","148.8","154.2",
"공공기관 및 기업 고위직(11)","남","3~5년미만","근로자수","명","8","84","85","143","155","70",
"공공기관 및 기업 고위직(11)","남","5~10년미만","월임금총액","천원","23964","26594","20818","25220","26385","32609",
"공공기관 및 기업 고위직(11)","남","5~10년미만","월급여액","천원","18692","19461","19508","20862","20439","19949",
"공공기관 및 기업 고위직(11)","남","5~10년미만","전년도연간특별급여/12개월","천원","5272","7133","1311","4357","5946","12660",
"공공기관 및 기업 고위직(11)","남","5~10년미만","전년도 연간특별급여","천원","63268","85594","15730","52285","71350","151923",
"공공기관 및 기업 고위직(11)","남","5~10년미만","총근로시간","시간","175.9","174.2","161.6","167.6","149.5","151",
"공공기관 및 기업 고위직(11)","남","5~10년미만","근로자수","명","170","53","103","70","47","109",
"공공기관 및 기업 고위직(11)","남","10년이상","월임금총액","천원","25060","24428","27218","26315","25587","28754",
"공공기관 및 기업 고위직(11)","남","10년이상","월급여액","천원","19632","21186","23240","22390","22253","22846",
"공공기관 및 기업 고위직(11)","남","10년이상","전년도연간특별급여/12개월","천원","5428","3241","3978","3926","3333","5908",
