KNOW직업코드,유사직업명,조사년도
10321,"PL, FC",2013
10322,,2013
10330,"전화상담원, 전화판매원, 전화영업원",2013
10340,,2013
10350,,2013
10410,"가정영업원, 웰빌파트너",2013
10420,노점상,2013
10421,매표원,2013
10430,,2013
10440,,2013
10450,캐셔(점원),2013
10460,"홍보사원, 판촉원",2013
11110,경비원,2013
11120,"무인경호원, 경비, 보안기사,  출동기사",2013
11130,,2013
11141,보디가드,2013
11142,수위,2013
11143,,2013
11144,"구조원, 패트롤",2013
11210,"미화원, 청소위생원, 청소원",2013
11211,"호텔청소원, 객실청소원, 호텔관리사, 하우스키핑 지배인",2013
11221,"가정부, 홈메이드, 도우미",2013
11222,"육아도우미,  아이돌보미, 보모, 보육사",2013
11230,"구두수선원, 구두수선공",2013
11241,기사,2013
11311,"기사, 점검원, 검침원,  검사원",2013
11320,"관리원, 주차원, 안내원, 경비원",2013
11321,"수거원, 환경미화원, 재활용관리자",2013
11331,"검표직원, 매표원",2013
11520,"수금원, 사채업자",2013
12111,이발사,2013
12112,"헤어디자이너, 헤어아티스트, 헤어스타일리스트",2013
12130,"맛사지사, 테라피스트, 지압사, 안마사, 에스테티션, 관리전문가",2013
12131,"체형관리사, 다이어트 플래너, 다이어트 관리사,  비만관리사",2013
12140,"분장사, 화장사, 피부관리사, 아티스트, 메이크업전문가, 피부미용사",2013
12141,,2013
12142,"분장사, 화장사, 아티스트, 메이크업전문가",2013
12151,"동물미용사, 애견사, 애견관리자",2013
12191,,2013
12192,CS강사,2013
12193,"백화점매장관리원, 샵마스터, 전문판매원, 퍼스널 쇼퍼",2013
12194,"백화점컨시어지, 기프트어드바이저, 상점판매원",2013
12210,"커플매니저, 매칭매니저",2013
12211,,2013
12220,"웨딩진행자, 폐백진행자, 웨딩플래너,  주례선생님",2013
12230,"장의사, 영사",2013
12311,"기획자, 여행담당자, 여행가이드, ",2013
12325,,2013
12330,"관광안내원, 관광가이드,  해설사, 인솔자, OP",2013
12331,"투어플래너, 관광통역안내사, 관광가이드, 관광안내원",2013
12335,"OP, 가이드,  인솔자, 통역원",2013
12336,"해설사, 자연환경안내원",2013
12340,"승무원, 스튜어디스,  캐빈크루",2013
12351,승무원,2013
12352,"승무원,  역무원",2013
12400,,2013
12500,"호텔리어, 카운터담당, 게스트서비스, 지배인, 도어맨, 숙박관리자, 객실안내원",2013
12501,,2013
12502,게이머,2013
12503,딜러,2013
12504,"경기진행도우미, 골프장도우미",2013
12505,,2013
12510,"벨맨, 호텔지배인, 호텔리어",2013
12610,"트레이너, 코치, 감독",2013
12611,"스포츠마사지사, 트레이너,  코치",2013
12631,"판관, 딜러",2013
12632,"기록사, 기록원",2013
12640,,2013
12641,"여가선용강사, 취미생활지도사",2013
12691,응원단원,2013
12692,"에이전트, 스포츠 마케터, 스포츠 매니저",2013
13111,"조리사, 요리사",2013
13121,"요리사, 조리사",2013
13131,"조리사, 요리사",2013
13141,"요리사, 조리사",2013
13151,"조리사, 푸드데코레이터",2013
13161,,2015
13191,,2013
13200,조주사,2013
13210,"주방보조, MGR,  shift coordinator",2013
13230,"찬모, 주방보조",2013
13240,"배달원, 주방장보조",2013
13310,"서빙직원, 서버",2013
13321,"소믈리에, 와인어드바이저, 와인전문가",2013
14111,기사,2013
14112,"설계사, 기사건축기사",2013
14113,"구조엔지니어, 건축사",2013
14114,시공기사,2013
